%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1539766015919710709,0.0,0.0,0.0,0.0,0.0,0.0
1539766016018970723,0.0,0.0,0.0,0.0,0.0,0.0
1539766016121576921,0.0,0.0,0.0,0.0,0.0,0.0
1539766016218893798,0.0,0.0,0.0,0.0,0.0,0.0
1539766016319394881,0.0,0.0,0.0,0.0,0.0,0.0
1539766016419791961,0.0,0.0,0.0,0.0,0.0,0.0
1539766016518851113,0.0,0.0,0.0,0.0,0.0,0.0
1539766016618890562,0.2,0.0,0.0,0.0,0.0,0.0
1539766016719780993,0.2,0.0,0.0,0.0,0.0,0.0
1539766016818953314,0.2,0.0,0.0,0.0,0.0,0.0
1539766016921150687,0.2,0.0,0.0,0.0,0.0,0.0
1539766017018882641,0.2,0.0,0.0,0.0,0.0,0.0
1539766017119836622,0.2,0.0,0.0,0.0,0.0,0.0
1539766017219019683,0.2,0.0,0.0,0.0,0.0,0.0
1539766017319805238,0.2,0.0,0.0,0.0,0.0,0.0
1539766017419580290,0.2,0.0,0.0,0.0,0.0,0.0
1539766017519926605,0.2,0.0,0.0,0.0,0.0,0.0
1539766017618935043,0.2,0.0,0.0,0.0,0.0,0.0
1539766017719944853,0.2,0.0,0.0,0.0,0.0,0.0
1539766017819925672,0.2,0.0,0.0,0.0,0.0,0.0
1539766017918900414,0.2,0.0,0.0,0.0,0.0,0.0
1539766018021819158,0.2,0.0,0.0,0.0,0.0,0.0
1539766018118984818,0.2,0.0,0.0,0.0,0.0,0.0
1539766018219952404,0.2,0.0,0.0,0.0,0.0,0.0
1539766018318910129,0.2,0.0,0.0,0.0,0.0,0.0
1539766018419037460,0.2,0.0,0.0,0.0,0.0,0.0
1539766018519885783,0.2,0.0,0.0,0.0,0.0,0.0
1539766018618930637,0.0,0.0,0.0,0.0,0.0,2.0
1539766018719052656,0.0,0.0,0.0,0.0,0.0,2.0
1539766018818943909,0.0,0.0,0.0,0.0,0.0,2.0
1539766018919835928,0.0,0.0,0.0,0.0,0.0,2.0
1539766019020009300,0.0,0.0,0.0,0.0,0.0,2.0
1539766019119805728,0.0,0.0,0.0,0.0,0.0,2.0
1539766019219189320,0.0,0.0,0.0,0.0,0.0,2.0
1539766019319002362,0.0,0.0,0.0,0.0,0.0,2.0
1539766019419819189,0.2,0.0,0.0,0.0,0.0,0.0
1539766019519933252,0.2,0.0,0.0,0.0,0.0,0.0
1539766019620114133,0.2,0.0,0.0,0.0,0.0,0.0
1539766019718992656,0.2,0.0,0.0,0.0,0.0,0.0
1539766019819944942,0.2,0.0,0.0,0.0,0.0,0.0
1539766019919080062,0.2,0.0,0.0,0.0,0.0,0.0
1539766020019895276,0.2,0.0,0.0,0.0,0.0,0.0
1539766020119877746,0.2,0.0,0.0,0.0,0.0,0.0
1539766020219860267,0.2,0.0,0.0,0.0,0.0,0.0
1539766020319955801,0.2,0.0,0.0,0.0,0.0,0.0
1539766020419822341,0.2,0.0,0.0,0.0,0.0,0.0
1539766020519021843,0.2,0.0,0.0,0.0,0.0,0.0
1539766020619876805,0.2,0.0,0.0,0.0,0.0,0.0
1539766020719901302,0.2,0.0,0.0,0.0,0.0,0.0
1539766020819978192,0.2,0.0,0.0,0.0,0.0,0.0
1539766020918966667,0.2,0.0,0.0,0.0,0.0,0.0
1539766021019802570,0.2,0.0,0.0,0.0,0.0,0.0
1539766021119530381,0.2,0.0,0.0,0.0,0.0,0.0
1539766021219538381,0.2,0.0,0.0,0.0,0.0,0.0
1539766021319085475,0.2,0.0,0.0,0.0,0.0,0.0
1539766021418945048,0.0,0.0,0.0,0.0,0.0,-2.0
1539766021518928727,0.0,0.0,0.0,0.0,0.0,-2.0
1539766021619046564,0.0,0.0,0.0,0.0,0.0,-2.0
1539766021719840969,0.0,0.0,0.0,0.0,0.0,-2.0
1539766021819844646,0.0,0.0,0.0,0.0,0.0,-2.0
1539766021919028744,0.0,0.0,0.0,0.0,0.0,-2.0
1539766022019902677,0.0,0.0,0.0,0.0,0.0,-2.0
1539766022118941224,0.0,0.0,0.0,0.0,0.0,-2.0
1539766022219075113,0.2,0.0,0.0,0.0,0.0,0.0
1539766022318946780,0.2,0.0,0.0,0.0,0.0,0.0
1539766022421606643,0.2,0.0,0.0,0.0,0.0,0.0
1539766022520922671,0.2,0.0,0.0,0.0,0.0,0.0
1539766022619845028,0.2,0.0,0.0,0.0,0.0,0.0
1539766022719956627,0.2,0.0,0.0,0.0,0.0,0.0
1539766022819060586,0.2,0.0,0.0,0.0,0.0,0.0
